;Debut Venue;Years_active;Influences;Education;Genre;Affiliations;Performance Type;Notable Students;Collaborators;Contributions To The Field
0;"  ""Carnegie Hall";1947-2005;Duke Ellington, Louis Armstrong;Berklee College of Music;Jazz;Lincoln Center, Verve Records;Live Performance;Herbie Hancock, Wynton Marsalis;Miles Davis, John Coltrane;"Innovation in jazz harmony and improvisation."""
1;" ""Metropolitan Opera House";1951-1989;Maria Callas, Enrico Caruso;Juilliard School;Opera;New York Philharmonic, Teatro Colon;Operatic Performance;Placido Domingo, Renée Fleming;Leonard Bernstein, Georg Solti;"Expansion of repertoire and promotion of new works."""
2;" ""Apollo Theater";1962-present;James Brown, Aretha Franklin;Tennessee State University;Soul, R&B;Motown Records, Stax Records;Studio Recording;Michael Jackson, Whitney Houston;Quincy Jones, Smokey Robinson;"Development of soul and R&B genres."""
3;" ""West End Theatre";1980-present;Judi Dench, Ian McKellen;Royal Academy of Dramatic Art;Theatre;National Theatre, Royal Shakespeare Company;Theatrical Performance;Daniel Day-Lewis, Ralph Fiennes;Kenneth Branagh, Sam Mendes;"Promotion of British theatre and classical works."""
4;" ""CBGB";1973-2006;Patti Smith, Ramones;None;Punk Rock;Rough Trade Records, Sire Records;Live Performance;Michael Stipe, Kurt Cobain;Chris Stein, Joey Ramone;"Establishment of punk rock as a genre."""
5;" ""La Scala";1955-1994;Luciano Pavarotti, Renata Tebaldi;La Scala Academy;Opera;Milan Philharmonic, Vienna State Opera;Operatic Performance;Placido Domingo, Riccardo Muti;Herbert von Karajan, Carlo Maria Giulini;"Preservation and promotion of Italian opera."""
6;" ""Royal Albert Hall";1871-present;Vladimir Horowitz, Luciano Pavarotti;Royal College of Music;Classical Music, Opera;BBC Proms, London Symphony Orchestra;Concert Performance;Itzhak Perlman, Yo-Yo Ma;Leonard Bernstein, Zubin Mehta;"Promotion of classical music and opera."""
7;" ""Blue Note Jazz Club";1981-present;Thelonious Monk, John Coltrane;New School for Jazz and Contemporary Music;Jazz;EMI, Columbia Records;Live Performance;Norah Jones, Usher;Herbie Hancock, Wynton Marsalis;"Preservation and promotion of jazz."""
8;" ""Palais Garnier";1875-present;Giacomo Puccini, Richard Wagner;Paris Conservatory;Opera, Ballet;Paris Opera Ballet, Orchestre de Paris;Ballet, Operatic Performance;George Balanchine, Rudolf Nureyev;Philippe Gaubert, Pierre Monteux;"Promotion of French opera and ballet."""
9;" ""Hollywood Bowl";1922-present;Marian Anderson, Leonard Bernstein;None;Classical Music, Jazz;Los Angeles Philharmonic, Capitol Records;Concert Performance;André Previn, Herbie Hancock;John Williams, Michael Tilson Thomas;"Promotion of classical and jazz music, community engagement.""</s>"
